2, 600, 1.605641
2, 1000, 7.711002
2, 2000, 107.496990
2, 3000, 540.532076
4, 600, 1.610675
4, 1000, 7.775832
4, 2000, 104.295499
4, 3000, 534.231722
10, 600, 1.649079
10, 1000, 7.725065
10, 2000, 92.052439
10, 3000, 478.140222
2, 600, 1.605740
2, 1000, 7.835558
2, 2000, 104.485232
2, 3000, 538.088889
4, 600, 1.681343
4, 1000, 7.563041
4, 2000, 101.789613
4, 3000, 534.293886
10, 600, 1.633180
10, 1000, 7.616152
10, 2000, 90.945973
10, 3000, 480.615243
2, 600, 1.594194
2, 1000, 7.681239
2, 2000, 102.298146
2, 3000, 543.094020
4, 600, 1.590953
4, 1000, 7.814868
4, 2000, 100.279155
4, 3000, 534.848375
10, 600, 1.693114
10, 1000, 7.619327
10, 2000, 94.920908
10, 3000, 492.282852
2, 600, 1.619921
2, 1000, 7.802562
2, 2000, 107.554673
2, 3000, 543.429998
4, 600, 1.581130
4, 1000, 7.731466
4, 2000, 101.657463
4, 3000, 530.468150
10, 600, 1.589549
10, 1000, 7.609078
10, 2000, 90.610664
10, 3000, 482.016162
2, 600, 1.698574
2, 1000, 7.769043
2, 2000, 103.849240
2, 3000, 605.346954
4, 600, 1.660746
4, 1000, 7.644818
4, 2000, 313.794452
4, 3000, 1588.496652
10, 600, 7.219664
10, 1000, 34.061240
10, 2000, 185.590574
10, 3000, 1287.729305
