100, 0.005228
200, 0.048885
400, 0.452382
600, 1.650780
800, 3.964706
1000, 7.734733
1500, 30.927664
2000, 102.944931
100, 0.005256
200, 0.047359
400, 0.451270
600, 1.630552
800, 4.012342
1000, 7.893881
1500, 32.624627
2000, 106.155674
100, 0.005240
200, 0.048211
400, 0.453499
600, 1.632218
800, 3.918935
1000, 7.781890
1500, 33.189778
2000, 104.939484
100, 0.005236
200, 0.047714
400, 0.440665
600, 1.658245
800, 3.976209
1000, 7.797328
1500, 32.181880
2000, 150.520626
100, 0.005493
200, 0.047686
400, 0.439397
600, 1.646661
800, 3.982044
1000, 7.745927
1500, 30.842747
2000, 103.160054
100, 0.005241
200, 0.047355
400, 0.439109
600, 1.643639
800, 3.956827
1000, 7.706702
1500, 31.133020
2000, 112.110679
100, 0.005266
200, 0.049906
400, 0.437758
600, 1.679178
800, 3.968578
1000, 7.825405
1500, 30.827937
2000, 106.924143
100, 0.005240
200, 0.047448
400, 0.437718
600, 1.661355
800, 3.935997
1000, 7.743735
1500, 31.929445
2000, 103.061563
100, 0.005345
200, 0.047412
400, 0.443005
600, 1.641107
800, 3.955422
1000, 7.801393
1500, 33.043784
2000, 113.026319
100, 0.005242
200, 0.047634
400, 0.450294
600, 1.655865
800, 3.926279
1000, 7.852660
1500, 34.035351
2000, 110.545624
