n, cpu time (s)
500, 0.655960
1000, 5.297935
1500, 17.776650
2000, 42.190239
3000, 141.880461
500, 0.652047
1000, 5.232164
1500, 17.872135
2000, 42.366240
3000, 141.903420
500, 0.640178
1000, 5.205383
1500, 17.808338
2000, 42.319760
3000, 142.261107
500, 0.642219
1000, 5.234215
1500, 17.716253
2000, 42.164008
3000, 141.879187
500, 0.642948
1000, 5.247755
1500, 17.799927
2000, 42.284967
3000, 142.266380
500, 0.663266
1000, 5.256041
1500, 17.655806
2000, 42.388206
3000, 141.920598
500, 0.640070
1000, 5.300862
1500, 17.750980
2000, 42.550221
3000, 142.207317
500, 0.655280
1000, 5.261550
1500, 17.761996
2000, 42.263617
3000, 142.311753
500, 0.652967
1000, 5.272256
1500, 17.645360
2000, 42.356722
3000, 141.903820
500, 0.647349
1000, 5.269818
1500, 17.735297
2000, 42.223821
3000, 141.791909
