n, cpu time (s)
500, 0.282452
1000, 2.266093
1500, 7.695464
2000, 18.322120
3000, 62.210465
500, 0.282295
1000, 2.264274
1500, 7.699321
2000, 18.387872
3000, 62.226278
500, 0.282448
1000, 2.264517
1500, 7.701121
2000, 18.320178
3000, 62.212181
500, 0.282521
1000, 2.267901
1500, 7.686115
2000, 18.332632
3000, 62.210001
500, 0.282564
1000, 2.267852
1500, 7.675684
2000, 18.364118
3000, 62.217801
500, 0.283313
1000, 2.264393
1500, 7.690045
2000, 18.356108
3000, 62.267785
500, 0.282187
1000, 2.264595
1500, 7.775382
2000, 18.469235
3000, 62.225075
500, 0.282479
1000, 2.261045
1500, 7.702518
2000, 18.438265
3000, 62.187327
500, 0.282414
1000, 2.262723
1500, 7.695713
2000, 18.391144
3000, 62.210716
500, 0.282030
1000, 2.264160
1500, 7.696621
2000, 18.380158
3000, 62.212065
