n, cpu time (s)
500, 0.089413
1000, 0.698665
1500, 2.346019
2000, 5.664193
3000, 21.095173
500, 0.091435
1000, 0.700237
1500, 2.353269
2000, 5.893773
3000, 21.251855
500, 0.089752
1000, 0.699406
1500, 2.373309
2000, 5.885938
3000, 20.934788
500, 0.089730
1000, 0.698907
1500, 2.343825
2000, 5.982915
3000, 20.973195
500, 0.091334
1000, 0.700287
1500, 2.353383
2000, 5.693711
3000, 20.883297
500, 0.089600
1000, 0.700402
1500, 2.340508
2000, 5.706900
3000, 20.877553
500, 0.091125
1000, 0.700129
1500, 2.344659
2000, 5.631361
3000, 20.929569
500, 0.089475
1000, 0.699172
1500, 2.343867
2000, 5.692293
3000, 20.808610
500, 0.089688
1000, 0.700733
1500, 2.365087
2000, 5.664132
3000, 20.875010
500, 0.089691
1000, 0.703980
1500, 2.342840
2000, 5.912222
3000, 20.885566
