100, 0.000000
200, 0.046875
400, 0.343750
600, 1.203125
800, 3.406250
1000, 8.156250
1500, 35.796875
2000, 96.078125
100, 0.000000
200, 0.031250
400, 0.328125
600, 1.156250
800, 3.218750
1000, 7.359375
1500, 35.312500
2000, 99.296875
100, 0.000000
200, 0.046875
400, 0.328125
600, 1.187500
800, 3.468750
1000, 7.328125
1500, 35.234375
2000, 95.406250
100, 0.000000
200, 0.031250
400, 0.328125
600, 1.171875
800, 3.140625
1000, 7.312500
1500, 35.109375
2000, 95.437500
100, 0.000000
200, 0.031250
400, 0.328125
600, 1.187500
800, 3.187500
1000, 7.312500
1500, 35.265625
2000, 97.312500
100, 0.000000
200, 0.031250
400, 0.328125
600, 1.171875
800, 3.187500
1000, 7.312500
1500, 35.281250
2000, 96.562500
100, 0.000000
200, 0.046875
400, 0.328125
600, 1.171875
800, 3.171875
1000, 7.375000
1500, 36.375000
2000, 94.640625
100, 0.015625
200, 0.046875
400, 0.328125
600, 1.156250
800, 3.140625
1000, 7.250000
1500, 35.140625
2000, 97.406250
100, 0.000000
200, 0.031250
400, 0.328125
600, 1.156250
800, 3.171875
1000, 7.359375
1500, 35.328125
2000, 94.171875
100, 0.015625
200, 0.046875
400, 0.328125
600, 1.125000
800, 3.125000
1000, 7.250000
1500, 35.625000
2000, 97.500000
