100, 0.014429
200, 0.078678
400, 0.352069
600, 1.349066
800, 3.502581
1000, 8.377065
1500, 41.627108
2000, 113.825792
100, 0.005236
200, 0.043827
400, 0.348636
600, 1.300047
800, 3.270867
1000, 7.481666
1500, 41.471445
2000, 109.893066
100, 0.005241
200, 0.043102
400, 0.342172
600, 1.317313
800, 3.281587
1000, 7.492855
1500, 41.505324
2000, 111.347186
100, 0.005508
200, 0.043093
400, 0.348519
600, 1.333435
800, 3.254138
1000, 7.512951
1500, 40.913526
2000, 110.343413
100, 0.006078
200, 0.050609
400, 0.355416
600, 1.332077
800, 3.373833
1000, 7.306686
1500, 40.990405
2000, 111.425275
100, 0.005924
200, 0.044121
400, 0.353865
600, 1.314257
800, 3.276835
1000, 7.677274
1500, 41.904897
2000, 110.264486
100, 0.005455
200, 0.042883
400, 0.363314
600, 1.423668
800, 3.327873
1000, 7.406397
1500, 41.166874
2000, 110.187252
100, 0.005302
200, 0.043735
400, 0.362102
600, 1.302037
800, 3.272706
1000, 7.220386
1500, 41.344281
2000, 110.224328
100, 0.005245
200, 0.045132
400, 0.365876
600, 1.325000
800, 3.295108
1000, 7.383131
1500, 41.455160
2000, 110.920733
100, 0.005255
200, 0.041032
400, 0.361895
600, 1.322711
800, 3.225735
1000, 7.291541
1500, 41.166574
2000, 110.466563
